name	origin	is_original	original_name	completeness	contamination	score	checkm2_model	size	N50	coding_density	contig_count
23	concoct_bins	True	23	100.0	0.37	99.26	Neural Network (Specific Model)	3026209	37523	0.8872	128
50	concoct_bins	True	50	100.0	0.5	99.0	Neural Network (Specific Model)	4765466	82084	0.8774	101
21	concoct_bins	True	21	92.76	0.29	92.18	Gradient Boost (General Model)	2277652	12187	0.9015	267
31	concoct_bins	True	31	92.75	4.19	84.37	Gradient Boost (General Model)	3710127	5703	0.8533	838
18	concoct_bins	True	18	88.02	2.42	83.18	Neural Network (Specific Model)	1943868	10707	0.8847	273
0	concoct_bins	True	0	100.0	12.49	75.02	Neural Network (Specific Model)	7222837	25567	0.8928	517
10	concoct_bins	True	10	72.7	3.8	65.1	Neural Network (Specific Model)	3268395	2954	0.9203	1251
38	concoct_bins	True	38	48.81	6.56	35.69	Gradient Boost (General Model)	1131941	1525	0.8952	734
44	concoct_bins	True	44	35.51	2.03	31.45	Neural Network (Specific Model)	828865	1482	0.8829	553
41	concoct_bins	True	41	99.99	36.32	27.35	Neural Network (Specific Model)	3987640	5799	0.8854	810
62	concoct_bins	True	62	45.65	10.31	25.03	Neural Network (Specific Model)	2611822	1473	0.8583	1742
56	concoct_bins	True	56	33.36	4.27	24.82	Neural Network (Specific Model)	754033	1517	0.9129	487
39	concoct_bins	True	39	47.24	11.26	24.72	Neural Network (Specific Model)	5127864	1541	0.8544	3287
61	concoct_bins	True	61	39.86	8.23	23.4	Gradient Boost (General Model)	1917855	1432	0.9093	1319
4	concoct_bins	True	4	85.75	31.45	22.85	Gradient Boost (General Model)	6208056	1554	0.9238	4037
1	concoct_bins	True	1	22.18	0.41	21.36	Neural Network (Specific Model)	408199	1395	0.8669	290
9	concoct_bins	True	9	19.73	0.05	19.63	Neural Network (Specific Model)	379824	1385	0.9131	266
6	concoct_bins	True	6	90.21	36.15	17.91	Gradient Boost (General Model)	3554673	4214	0.8911	958
45	concoct_bins	True	45	100.0	41.64	16.72	Gradient Boost (General Model)	8419694	3913	0.9126	2308
58	concoct_bins	True	58	18.34	0.87	16.6	Neural Network (Specific Model)	912608	1308	0.8484	672
35	concoct_bins	True	35	15.25	0.1	15.05	Neural Network (Specific Model)	187478	1406	0.9125	131
60	concoct_bins	True	60	13.07	0.09	12.89	Neural Network (Specific Model)	302044	1522	0.9263	201
15	concoct_bins	True	15	15.1	2.61	9.88	Neural Network (Specific Model)	219238	1267	0.9248	168
63	concoct_bins	True	63	9.37	0.0	9.37	Neural Network (Specific Model)	223994	1285	0.8741	170
37	concoct_bins	True	37	15.35	3.6	8.15	Neural Network (Specific Model)	813241	3688	0.8667	252
43	concoct_bins	True	43	6.98	0.0	6.98	Gradient Boost (General Model)	4430	1136	0.7029	4
47	concoct_bins	True	47	6.6	0.0	6.6	Gradient Boost (General Model)	2419	1312	0.9363	2
40	concoct_bins	True	40	6.42	0.0	6.42	Gradient Boost (General Model)	22682	1372	0.906	17
52	concoct_bins	True	52	6.4	0.0	6.4	Gradient Boost (General Model)	3216	1050	0.6511	3
22	concoct_bins	True	22	6.38	0.0	6.38	Gradient Boost (General Model)	3113	3113	0.9994	1
14	concoct_bins	True	14	6.38	0.0	6.38	Gradient Boost (General Model)	2161	2161	0.7483	1
57	concoct_bins	True	57	6.38	0.0	6.38	Gradient Boost (General Model)	21581	1508	0.692	15
51	concoct_bins	True	51	6.38	0.0	6.38	Gradient Boost (General Model)	2475	1448	0.9988	2
34	concoct_bins	True	34	6.38	0.0	6.38	Gradient Boost (General Model)	1344	1344	0.9978	1
2	concoct_bins	True	2	6.38	0.0	6.38	Gradient Boost (General Model)	5320	1341	0.8865	4
7	concoct_bins	True	7	6.38	0.0	6.38	Gradient Boost (General Model)	2524	1332	0.7595	2
8	concoct_bins	True	8	6.38	0.0	6.38	Gradient Boost (General Model)	9498	1304	0.8273	7
13	concoct_bins	True	13	6.38	0.0	6.38	Gradient Boost (General Model)	4999	1246	0.5725	4
25	concoct_bins	True	25	6.38	0.0	6.38	Gradient Boost (General Model)	1240	1240	0.9194	1
59	concoct_bins	True	59	6.38	0.0	6.38	Gradient Boost (General Model)	11081	1237	0.3991	9
30	concoct_bins	True	30	6.38	0.0	6.38	Gradient Boost (General Model)	2363	1236	0.9471	2
55	concoct_bins	True	55	6.38	0.0	6.38	Gradient Boost (General Model)	1235	1235	0.6802	1
20	concoct_bins	True	20	6.38	0.0	6.38	Gradient Boost (General Model)	2310	1231	0.9844	2
5	concoct_bins	True	5	6.38	0.0	6.38	Gradient Boost (General Model)	7347	1186	0.6835	6
42	concoct_bins	True	42	6.38	0.0	6.38	Gradient Boost (General Model)	1160	1160	0.7371	1
3	concoct_bins	True	3	6.38	0.0	6.38	Gradient Boost (General Model)	2204	1123	0.5622	2
32	concoct_bins	True	32	6.38	0.0	6.38	Gradient Boost (General Model)	1058	1058	0.845	1
11	concoct_bins	True	11	6.38	0.0	6.38	Gradient Boost (General Model)	1008	1008	0.4137	1
19	concoct_bins	True	19	6.38	0.01	6.36	Gradient Boost (General Model)	1037	1037	0.9981	1
16	concoct_bins	True	16	6.05	0.0	6.05	Gradient Boost (General Model)	9555	2892	0.5976	5
33	concoct_bins	True	33	5.66	0.0	5.66	Gradient Boost (General Model)	3622	1980	0.8584	2
17	concoct_bins	True	17	5.63	0.0	5.63	Gradient Boost (General Model)	7068	1206	0.8538	6
48	concoct_bins	True	48	5.47	0.0	5.47	Gradient Boost (General Model)	13077	1054	0.9254	12
49	concoct_bins	True	49	5.09	0.0	5.09	Gradient Boost (General Model)	5512	1080	0.9623	5
46	concoct_bins	True	46	5.03	0.0	5.03	Neural Network (Specific Model)	89935	1191	0.92	73
24	concoct_bins	True	24	4.31	0.0	4.31	Neural Network (Specific Model)	31150	1597	0.8928	18
12	concoct_bins	True	12	3.86	0.0	3.86	Neural Network (Specific Model)	100818	100818	0.9442	1
29	concoct_bins	True	29	3.74	0.0	3.74	Neural Network (Specific Model)	133109	4083	0.431	43
27	concoct_bins	True	27	3.69	0.0	3.69	Neural Network (Specific Model)	120657	3383	0.9134	49
36	concoct_bins	True	36	3.68	0.01	3.66	Neural Network (Specific Model)	106196	24244	0.9048	6
26	concoct_bins	True	26	2.73	0.0	2.73	Neural Network (Specific Model)	27566	1294	0.9978	20
54	concoct_bins	True	54	2.62	0.0	2.62	Neural Network (Specific Model)	24906	1319	0.8612	18
53	concoct_bins	True	53	2.53	0.0	2.53	Neural Network (Specific Model)	41153	1182	0.8016	34
64	concoct_bins	True	64	2.48	0.0	2.48	Neural Network (Specific Model)	43900	1394	0.5687	30
28	concoct_bins	True	28	2.4	0.0	2.4	Neural Network (Specific Model)	44907	2200	0.5223	23
